#NAME     16abc
#AV_HOST  0.155 +/- 0.020
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.040 +/- 0.090
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 56195.301   5.26444986E+42   5.45068584E+41
 56195.398   5.72833869E+42   5.87317388E+41
 56196.801   6.25169353E+42   6.61619911E+41
 56197.699   8.98957596E+42   9.22701639E+41
 56198.898   1.03017188E+43   1.05834926E+42
 56199.801   1.12811935E+43   1.15664000E+42
 56200.801   1.21892991E+43   1.24905148E+42
 56201.898   1.26228031E+43   1.29348752E+42
 56202.699   1.33615035E+43   1.36803855E+42
 56203.699   1.38077254E+43   1.41312864E+42
 56204.500   1.37002809E+43   1.40173208E+42
 56205.398   1.32247143E+43   1.35293132E+42
 56206.500   1.34134154E+43   1.37030886E+42
 56207.602   1.33543059E+43   1.36279454E+42
 56208.000   1.33459201E+43   1.36128178E+42
 56209.500   1.27213744E+43   1.29622913E+42
 56210.398   1.22061036E+43   1.24339722E+42
 56210.801   1.21389120E+43   1.23591727E+42
