Wavelength (nm),g
300,0.000205646
301,0.000165044
302,-0.000107117
303,0.000118319
304,0.000128884
305,-0.00024233
306,0.0000612
307,0.0000973
308,-0.000214582
309,0.00010221
310,0.0000118
311,-0.000149411
312,0.0000349
313,0.000202919
314,0.0000502
315,0.0000962
316,0.000326331
317,-0.0000969
318,0.000181624
319,0.000161889
320,0.00000481
321,-0.0000138
322,0.000204605
323,0.000117458
324,-0.00011166
325,-0.0000286
326,0.000470026
327,-0.000164345
328,-0.0000714
329,-0.000078
330,0.000479862
331,0.000556801
332,0.00000476
333,0.00036406
334,0.000316266
335,-0.0000992
336,-0.0001329
337,0.00000204
338,0.000161119
339,0.000221485
340,-0.000229152
341,0.000273934
342,0.0000192
343,-0.000126238
344,0.0000526
345,0.000336831
346,-0.000206326
347,-0.00000497
348,0.000203142
349,0.000802779
350,0.000126563
351,0.000134518
352,0.000129393
353,0.000114182
354,0.00000249
355,0.0000301
356,0.000138609
357,0.0000789
358,0.000110717
359,0.000155535
360,0.0000862
361,0.000154919
362,0.000076
363,0.000172242
364,0.000114917
365,0.0000729
366,0.0000579
367,0.000103115
368,0.0000589
369,0.0000921
370,0.0000454
371,0.000100792
372,0.0000728
373,0.0000918
374,0.0000716
375,0.0000556
376,0.0000579
377,0.0000804
378,0.0000933
379,0.0000684
380,0.00012418
381,0.0000886
382,0.0000851
383,0.0000114
384,0.0000687
385,0.00012096
386,0.000130867
387,0.0000413
388,0.0000866
389,0.000338663
390,0.000161857
391,0.000975318
392,0.000319795
393,0.000240079
394,0.011126103
395,0.009062199
396,0.010839829
397,0.050352555
398,0.021166408
399,0.067902654
400,4.747470379
401,43.00172806
402,79.58659363
403,95.49369812
404,94.28020477
405,96.20343018
406,96.86205292
407,96.86621094
408,96.2042923
409,97.69301605
410,97.81702423
411,97.78171539
412,96.40255737
413,96.87779999
414,97.39479065
415,97.87387085
416,97.59480286
417,97.78094482
418,97.8325882
419,97.6606369
420,98.34131622
421,98.58932495
422,98.49518585
423,98.13925934
424,98.28079224
425,98.17217255
426,98.10164642
427,98.33843994
428,98.02906036
429,97.88842773
430,98.05180359
431,97.96869659
432,98.39472198
433,98.37478638
434,98.25623322
435,98.2806778
436,97.94415283
437,97.66982269
438,98.1061554
439,98.3267746
440,98.35284424
441,98.59081268
442,98.31356049
443,98.1969223
444,98.31143951
445,97.98639679
446,97.97993469
447,98.35010529
448,98.22045898
449,98.28876495
450,98.45089722
451,98.56038666
452,98.52612305
453,98.25925446
454,98.04051208
455,98.21846771
456,98.39445496
457,98.43994904
458,98.44285583
459,98.63117218
460,98.32772827
461,97.95907593
462,98.17420959
463,98.362854
464,98.1774826
465,98.27277374
466,98.54803467
467,98.4040451
468,98.4750061
469,98.56761169
470,98.56078339
471,98.46339417
472,98.63444519
473,98.37503815
474,97.91704559
475,97.99895477
