Wavelength (nm),i
300,0.024426688
301,0.021054501
302,0.020234706
303,0.023264587
304,0.002567526
305,-0.000112721
306,0.000217801
307,0.000166167
308,-0.0000262
309,0.000745121
310,0.00153577
311,0.0000284
312,0.0000955
313,0.003320966
314,0.004594422
315,0.002273917
316,0.000363734
317,0.000150984
318,0.00511983
319,0.008465256
320,0.003124489
321,0.00067718
322,0.00069176
323,0.004749325
324,0.006909252
325,0.00035418
326,0.002402174
327,0.017963065
328,0.028349098
329,0.000107517
330,0.000099
331,0.00064149
332,-0.0000762
333,0.0000369
334,0.000291587
335,0.000277162
336,0.001168855
337,0.0000778
338,-0.000274564
339,0.000127799
340,-0.000358426
341,-0.00048044
342,0.0000649
343,-0.000119171
344,0.0000779
345,0.000465505
346,0.000922942
347,0.013057121
348,0.003858073
349,0.000222761
350,0.0000777
351,-0.000043
352,0.0000245
353,0.0000295
354,0.000265478
355,0.00612556
356,0.022025701
357,0.002022523
358,0.000128149
359,-0.0000675
360,-0.0000261
361,0.0000181
362,-0.0000423
363,-0.0000533
364,-0.000126
365,-0.0000275
366,0.0000416
367,-0.000104412
368,-0.0000321
369,-0.00000978
370,0.0000447
371,0.0000556
372,0.0000621
373,-0.0000505
374,-0.0000565
375,-0.0000634
376,-0.0000517
377,0.0000305
378,0.0000416
379,-0.0000929
380,-0.000042
381,-0.0000245
382,0.000258355
383,-0.0000303
384,-0.000118568
385,0.0000394
386,0.000368898
387,0.003150717
388,0.001266971
389,-0.0000603
390,-0.000120099
391,0.000154665
392,0.001226762
393,-0.0000482
394,-0.0000514
395,0.000301569
396,0.000417432
397,-0.0000514
398,0.000322817
399,0.0000353
400,0.000159755
401,0.001600867
402,0.000190202
403,0.003096739
404,0.001460301
405,0.002134132
406,0.001704829
407,0.0000241
408,0.0000935
409,0.0000896
410,-0.0000822
411,0.00000455
412,0.0000992
413,-0.00000412
414,0.00010807
415,0.000722501
416,0.0000889
417,0.0000129
418,0.000390068
419,0.000347555
420,0.00000958
421,0.00116221
422,0.002843325
423,0.001008666
424,0.004263366
425,0.001303529
426,0.000715772
427,0.000654914
428,0.000564121
429,0.001364113
430,0.000437486
431,0.000202754
432,0.001414965
433,0.002108067
434,0.001403841
435,0.002322997
436,0.001500318
437,0.000761201
438,0.000100976
439,-0.00000128
440,0.000128265
441,0.000115181
442,0.0000273
443,0.000384788
444,0.001249416
445,0.000224342
446,0.000120871
447,0.000958472
448,0.00061605
449,0.000237757
450,0.001856021
451,0.003877048
452,0.000605107
453,0.000217373
454,0.000104814
455,0.000107851
456,0.000240362
457,0.002116394
458,0.006012879
459,0.001784076
460,0.000724269
461,0.001559141
462,0.003875035
463,0.00240385
464,0.001759803
465,0.001210443
466,0.000297609
467,0.0000733
468,0.0000433
469,0.0000327
470,-0.0000533
471,-0.0000524
472,-0.0000848
473,-0.0000726
474,0.0000108
475,0.000136664
476,-0.0000517
477,-0.0000737
478,-0.000105587
479,-0.0000831
480,-0.0000711
481,-0.0000551
482,-0.0000656
483,-0.0000485
484,0.0000383
485,0.0000338
486,0.0000313
487,0.00016435
488,0.000208014
489,0.0000798
490,0.000135753
491,0.000331762
492,0.000260606
493,0.000117909
494,0.000121264
495,0.0000186
496,-0.0000321
497,-0.0000781
498,-0.0000633
499,-0.0000629
500,-0.0000336
501,0.000170372
502,0.000655634
503,0.000136312
504,-0.0000213
505,0.000074
506,0.000372289
507,0.000107104
508,-0.0000455
509,-0.0000611
510,0.0000186
511,0.0000266
512,-0.0000397
513,-0.0000607
514,-0.0000736
515,-0.0000836
516,-0.0000758
517,-0.0000404
518,0.0000733
519,0.001101342
520,0.001381765
521,0.00083728
522,0.002050793
523,0.004675689
524,0.001917853
525,0.00049028
526,0.000368423
527,0.00054336
528,0.000599519
529,0.000232755
530,0.0000435
531,-0.00000514
532,-0.00000459
533,0.000129743
534,0.000379119
535,0.000632978
536,0.000410493
537,0.000344827
538,0.000556946
539,0.0017398
