Wavelength (nm),r
300,0.00000725
301,-0.0000355
302,0.000175418
303,0.000385299
304,0.000125507
305,0.0000103
306,0.000174972
307,0.000326907
308,0.000163742
309,0.0000322
310,-0.000122406
311,-0.00000371
312,0.000254812
313,0.001840182
314,0.00372486
315,-0.0000399
316,0.0000697
317,0.0000727
318,0.0000524
319,-0.000170407
320,0.000122192
321,0.000200597
322,0.00000575
323,0.00000911
324,0.0000457
325,0.000032
326,0.000119293
327,0.000051
328,0.000147669
329,0.000939821
330,0.000686025
331,0.00029884
332,0.000605809
333,0.000259833
334,0.000513943
335,0.000046
336,-0.000166467
337,0.00020682
338,0.0000253
339,0.000028
340,0.0000402
341,0.000298299
342,-0.000196639
343,0.000157098
344,0.000101078
345,0.0000283
346,-0.0000245
347,-0.000214812
348,0.000269854
349,-0.000146208
350,-0.0000109
351,0.0000478
352,0.000112076
353,0.0000301
354,0.000032
355,0.000142632
356,0.000146085
357,0.000160658
358,0.0000947
359,-0.00000157
360,0.000238049
361,0.000342924
362,0.000167641
363,-0.00000332
364,0.0000913
365,0.000207108
366,0.000588006
367,0.000155534
368,0.0000499
369,0.00000945
370,0.0000269
371,-0.0000136
372,0.0000355
373,0.00000158
374,0.0000518
375,0.0000339
376,0.00018866
377,0.000254748
378,0.0000254
379,0.00000564
380,0.000025
381,0.00000685
382,0.0000172
383,0.000217152
384,0.000704401
385,0.000709619
386,0.0000273
387,0.000100033
388,0.0000515
389,0.00000186
390,-0.000007
391,0.0000347
392,0.0000443
393,0.0000649
394,0.00000965
395,0.00000836
396,0.0000652
397,0.0000706
398,0.0000127
399,0.0000185
400,0.0000647
401,0.0000492
402,0.000126905
403,0.000117528
404,0.000132298
405,0.0000309
406,0.00000312
407,0.0000203
408,0.0000804
409,0.000072
410,0.0000378
411,0.0000294
412,0.0000515
413,0.0000318
414,0.0000819
415,0.000239129
416,0.0000524
417,0.0000162
418,0.000107811
419,0.000178516
420,0.0000125
421,0.0000331
422,0.00019536
423,0.000192009
424,0.0000544
425,0.000069
426,0.000266432
427,0.000135506
428,0.000100162
429,0.0000625
430,0.000141821
431,0.000868447
432,0.00028028
433,0.000563054
434,0.000588143
435,0.0000776
436,0.000115186
437,0.000600808
438,0.001241611
439,0.0000795
440,0.0000204
441,0.000302945
442,0.000574303
443,0.000034
444,0.0000901
445,0.0000482
446,0.000016
447,0.00000902
448,0.0000362
449,0.0000284
450,0.00000804
451,0.0000254
452,0.0000172
453,0.0000387
454,0.0000199
455,0.00000274
456,0.0000348
457,0.0000209
458,0.00000694
459,0.000013
460,0.00000651
461,0.0000202
462,0.0000637
463,0.0000371
464,0.000014
465,0.0000336
466,0.0000961
467,0.000239308
468,0.000169052
469,0.0000675
470,0.0000755
471,0.000194274
472,0.000161176
473,0.0000567
474,0.0000471
475,0.000295428
476,0.001249429
477,0.000221496
478,0.0000306
479,0.0000168
480,0.0000181
481,0.0000466
482,0.000216495
483,0.000215167
484,0.0000433
485,0.0000286
486,0.0000335
487,0.0000793
488,0.000611603
489,0.001145625
490,0.000267978
491,0.000163549
492,0.000204525
493,0.00041914
494,0.000458699
495,0.000317815
496,0.000334448
497,0.000619028
498,0.001249801
499,0.001207564
