Wavelength (nm),u
300,0.000193156
301,0.000204664
302,0.0000151
303,0.000331756
304,0.000448127
305,0.000113906
306,0.000448758
307,0.00199749
308,0.002612338
309,0.01735987
310,0.020326748
311,0.008963722
312,0.013969958
313,0.034281101
314,0.019249504
315,0.631938696
316,9.074481964
317,11.99781895
318,20.01387596
319,33.68631744
320,48.56291962
321,68.07445526
322,80.1605072
323,85.09337616
324,89.15570068
325,89.57661438
326,90.76482391
327,92.10036469
328,92.03923035
329,92.45068359
330,93.3285675
331,92.65699005
332,93.51423645
333,94.48271942
334,93.55410767
335,93.9731369
336,95.03614044
337,94.89884949
338,95.14717102
339,96.01839447
340,95.54868317
341,95.86106873
342,95.47463226
343,95.71136475
344,95.48075867
345,96.53959656
346,96.25471497
347,96.37950897
348,95.83318329
349,96.04499054
350,95.06684113
351,95.38122559
352,95.41327667
353,95.56034851
354,95.31358337
355,95.54216003
356,95.41264343
357,95.26519775
358,95.59682465
359,94.91483307
360,95.47425842
361,95.22260284
362,95.72795868
363,95.42175293
364,95.35675812
365,95.59563446
366,95.44178772
367,95.83098602
368,95.18327332
369,95.80969238
370,95.4670105
371,95.49973297
372,94.88503265
373,94.19606018
374,95.41474915
375,95.44782257
376,95.412323
377,95.26153564
378,95.36280823
379,94.15380859
380,94.1151123
381,93.58960724
382,71.40829468
383,10.6422987
384,2.959070444
385,0.204997927
386,0.029715328
387,0.007756511
388,0.003080639
389,0.001839636
390,0.001514541
391,0.001862022
392,0.003782534
393,0.004103712
394,0.001763146
395,0.000816683
396,0.001187852
397,0.002832125
398,0.003028069
399,0.001502765
400,0.001872299
401,0.003490011
402,0.001602586
403,0.000439644
404,0.000484786
405,0.001063722
406,0.002452977
407,0.002159001
408,0.002471547
409,0.004729929
410,0.002742644
411,0.000866528
412,0.000797493
413,0.001893313
414,0.004181006
415,0.005125572
416,0.006505751
417,0.007138816
418,0.004493135
419,0.004669994
420,0.006890829
421,0.003481652
422,0.001452238
423,0.001987831
424,0.006390652
425,0.004236091
426,0.000864967
427,0.000595332
428,0.000785747
429,0.000886675
430,0.000836126
431,0.001498272
432,0.003040048
433,0.000986439
434,0.000113084
435,0.000044
436,0.0000494
437,0.000124296
438,0.00052496
439,0.001058346
440,0.001053968
441,0.001380634
442,0.004124173
443,0.007652825
444,0.006090383
445,0.0067448
446,0.005345551
447,0.002591895
448,0.002545998
449,0.004268236
450,0.002508506
451,0.000662816
452,0.000334235
453,0.000222648
454,0.0000761
455,-0.0000299
456,-0.000052
457,-0.0000524
458,-0.0000753
459,-0.0000452
460,0.0000683
461,0.00036598
462,0.000136503
463,0.0000303
464,-0.00000368
465,0.0000652
466,0.000189743
467,0.000153361
468,0.0000685
469,0.0000424
470,0.000147336
471,0.000253152
472,0.000114616
473,-0.00000204
474,-0.0000107
475,-0.0000222
476,0.0000211
477,0.000176465
478,0.000351236
479,0.000247585
480,0.000110764
481,0.0000698
482,0.00000595
483,-0.000034
484,-0.0000289
485,-0.000042
486,-0.0000223
487,-0.00000129
488,0.000118215
489,0.000693574
490,0.005457068
491,0.007326822
492,0.002387648
493,0.001225884
494,0.001062951
495,0.001164608
496,0.001734363
497,0.003845831
498,0.005961342
499,0.003611994
500,0.001755999
501,0.001480554
502,0.002102536
503,0.004497321
504,0.004846729
505,0.001913898
506,0.000790964
507,0.000524597
508,0.000367224
509,0.000334712
510,0.000349023
511,0.000342447
512,0.000367598
513,0.000483437
514,0.000699572
515,0.001382538
516,0.002712023
517,0.00374851
518,0.003090248
519,0.00288767
520,0.003468401
521,0.005149156
522,0.005992692
523,0.004375635
524,0.002761458
525,0.001893698
526,0.001232471
527,0.000817629
528,0.000486102
529,0.000313402
530,0.000258626
531,0.000254729
532,0.000331582
533,0.000565217
534,0.001061176
535,0.001445296
536,0.001150639
537,0.000717067
538,0.0005429
539,0.000530665
540,0.00056373
541,0.000756361
542,0.001007403
543,0.001225006
544,0.001270629
545,0.001138627
546,0.000860406
547,0.00066483
548,0.000539267
549,0.000519712
550,0.000751044
551,0.001571745
552,0.004269657
553,0.003554461
554,0.000814395
555,0.000214117
556,0.0000832
557,0.0000224
558,0.0000159
559,0.00000804
560,-0.0000189
561,-0.0000412
562,0.00000698
563,-0.00000403
564,-0.0000183
565,-0.0000204
566,-0.00000346
567,0.0000226
568,0.0000206
569,0.0000589
570,0.0000881
571,0.000221816
572,0.00048041
573,0.000883896
574,0.000989094
575,0.001025169
576,0.001051083
577,0.001087525
578,0.001293296
579,0.001568219
580,0.002002661
581,0.002648135
582,0.003422186
583,0.004422845
584,0.004288565
585,0.003032776
586,0.001822667
587,0.001225024
588,0.00103344
589,0.000966951
590,0.001170354
591,0.001921292
592,0.00401018
593,0.008137699
594,0.006775368
595,0.002883119
596,0.001355012
597,0.000870528
598,0.000587205
599,0.000454127
600,0.000403338
601,0.00030683
602,0.000218647
603,0.000158258
604,0.000116676
605,0.0000628
606,0.0000745
607,0.0000537
608,0.0000933
609,0.000123079
610,0.000176541
611,0.000300187
612,0.000499539
613,0.000810839
614,0.001391031
615,0.00206281
616,0.002785298
617,0.003550307
618,0.004383355
619,0.005177228
620,0.00535735
621,0.004695565
622,0.003754199
623,0.003041573
624,0.002700271
625,0.002608641
626,0.002633061
627,0.002603924
628,0.002333651
629,0.001959347
630,0.001623773
631,0.001288335
632,0.001080908
633,0.001004723
634,0.000986868
635,0.000965669
636,0.001011657
637,0.000955103
638,0.000809665
639,0.000680785
640,0.000580539
641,0.000459151
642,0.000417866
643,0.000407952
644,0.000428618
645,0.000496478
646,0.000632242
647,0.000744005
648,0.000846565
649,0.000981969
650,0.001074058
651,0.001163286
652,0.001300327
653,0.001436411
654,0.001661184
655,0.001939144
656,0.001817222
657,0.001481059
658,0.000990349
659,0.000637276
660,0.00044924
661,0.000341266
662,0.000252861
663,0.000238197
664,0.000220511
665,0.000238795
666,0.000292658
667,0.000377742
668,0.000443434
669,0.000564523
670,0.000714466
671,0.000820508
672,0.000853844
673,0.000869785
674,0.000872124
675,0.000885193
676,0.000896771
677,0.000955364
678,0.000891522
679,0.000857819
680,0.00077868
681,0.000721801
682,0.000700015
683,0.000675156
684,0.000688315
685,0.000779816
686,0.001000516
687,0.00136209
688,0.001922931
689,0.00274926
690,0.003488965
691,0.003253951
692,0.002399622
693,0.001675918
694,0.001232901
695,0.001047232
696,0.000905168
697,0.000822762
698,0.000688579
699,0.000517221
700,0.000393296
701,0.000244978
702,0.000159473
703,0.000103135
704,0.0000568
705,0.0000629
706,0.0000215
707,-0.00000654
708,0.0000529
709,0.000045
710,0.000000267
711,0.0000491
712,0.0000417
713,0.0000941
714,0.000135377
715,0.00029779
716,0.000526211
717,0.001123753
718,0.002417432
719,0.004697063
720,0.004709674
721,0.00326112
722,0.002479737
723,0.001872034
724,0.001840186
725,0.00184073
726,0.002095304
727,0.002084089
728,0.001806383
729,0.001449266
730,0.001106215
731,0.000701961
732,0.000633185
733,0.000509843
734,0.0003896
735,0.000395298
736,0.000418808
737,0.000364956
738,0.000510353
739,0.000396073
740,0.000586601
741,0.000577126
742,0.000541123
743,0.000410863
744,0.000447499
745,0.000318105
746,0.000339741
747,0.000300403
748,0.000331195
749,0.000305747
750,0.000263869
751,0.000281848
752,0.00032078
753,0.000160613
754,0.000124664
755,0.000115569
756,0.000100389
757,-0.0000458
758,0.0000365
759,-0.0000364
760,-0.0000114
761,-0.0000118
762,0.0000241
763,-0.0000634
764,-0.0000197
765,-0.000146212
766,-0.0000569
767,-0.0000373
768,-0.0000199
769,-0.000128044
770,0.0000777
771,-0.0000479
772,-0.0000523
773,0.0000431
774,0.0000546
775,0.000206069
776,0.000232882
777,0.000424082
778,0.000732964
779,0.000945876
780,0.001752753
781,0.002086615
782,0.002733186
783,0.002567903
784,0.00284567
785,0.002861591
786,0.003228517
787,0.004093041
788,0.005283977
789,0.006307823
790,0.007585896
791,0.007122174
792,0.00557939
793,0.004332112
794,0.002984213
795,0.002632162
796,0.00211691
797,0.002148126
798,0.001846067
799,0.001884336
800,0.002963963
800,0.002041817
800.2000122,0.006501958
800.4000244,0.006900369
800.5999756,0.007372325
800.7999878,0.004731236
801,0.004486872
801.2000122,0.005311122
801.4000244,0.006277224
801.5999756,0.005508603
801.7999878,0.004840651
802,0.002298412
802.2000122,0.00541054
802.4000244,0.005694272
802.5999756,0.005654479
802.7999878,0.0038629
803,0.005413632
803.2000122,0.003604052
803.4000244,0.003173079
803.5999756,0.003704484
803.7999878,0.006553101
804,0.005136636
804.2000122,0.003971847
804.4000244,0.00476732
804.5999756,0.005469145
804.7999878,0.004328073
805,0.006278682
805.2000122,0.003764682
805.4000244,0.004360279
805.5999756,0.005421492
805.7999878,0.005844372
806,0.004354521
806.2000122,0.004203831
806.4000244,0.003667145
806.5999756,0.004286624
806.7999878,0.00392641
807,0.005512047
807.2000122,0.004270361
807.4000244,0.002811835
807.5999756,0.005121732
807.7999878,0.003519544
808,0.004479411
808.2000122,0.002960147
808.4000244,0.002754853
808.5999756,0.005390285
808.7999878,0.002566064
809,0.003420353
809.2000122,0.003967901
809.4000244,0.003495671
809.5999756,0.003996549
809.7999878,0.005184316
810,0.004676806
810.2000122,0.00290611
810.4000244,0.004189114
810.5999756,0.002818907
810.7999878,0.004756955
811,0.002854688
811.2000122,0.003917266
811.4000244,0.003397709
811.5999756,0.003295298
811.7999878,0.004837328
812,0.003694352
812.2000122,0.003925656
812.4000244,0.003940223
812.5999756,0.001786261
812.7999878,0.005044098
813,0.004004582
813.2000122,0.004758182
813.4000244,0.00308466
813.5999756,0.003256983
813.7999878,0.002704418
814,0.003878097
814.2000122,0.0031238
814.4000244,0.004029112
814.5999756,0.004589858
814.7999878,0.003016033
815,0.003565268
815.2000122,0.003465477
815.4000244,0.001193966
815.5999756,0.003736509
815.7999878,0.003312771
816,0.004030369
816.2000122,0.004785379
816.4000244,0.003478555
816.5999756,0.004413645
816.7999878,0.003435791
817,0.00332468
817.2000122,0.003534853
817.4000244,0.005154243
817.5999756,0.004218551
817.7999878,0.004022349
818,0.002870572
818.2000122,0.003993104
818.4000244,0.003310717
818.5999756,0.005504486
818.7999878,0.002739058
819,0.002773984
819.2000122,0.00393286
819.4000244,0.001840006
819.5999756,0.003345425
819.7999878,0.002657476
820,0.003700894
820.2000122,0.003954554
820.4000244,0.001675549
820.5999756,0.004179407
820.7999878,0.002261005
821,0.002188563
821.2000122,0.003291068
821.4000244,0.003070998
821.5999756,0.003818135
821.7999878,0.00219685
822,0.001945101
822.2000122,0.001042257
822.4000244,0.003608847
822.5999756,0.004769024
822.7999878,0.002809412
823,0.003604127
823.2000122,0.003203551
823.4000244,0.002247196
823.5999756,0.001092045
823.7999878,0.003522558
824,0.003809041
824.2000122,0.002943915
824.4000244,0.001758741
824.5999756,0.002817654
824.7999878,0.002892772
825,0.00223734
825.2000122,0.002468462
825.4000244,0.001242412
825.5999756,0.003752736
825.7999878,0.002349536
826,0.002246385
826.2000122,0.001103299
826.4000244,0.002158265
826.5999756,0.002365018
826.7999878,0.00303896
827,0.001444076
827.2000122,0.002040016
827.4000244,0.003368972
827.5999756,0.002756416
827.7999878,0.002885288
828,0.000859365
828.2000122,0.002438323
828.4000244,0.002061656
828.5999756,0.002863179
828.7999878,0.002298145
829,0.003051415
829.2000122,0.000184648
829.4000244,0.002566674
829.5999756,0.003678658
829.7999878,0.001651596
830,0.002469075
830.2000122,0.000962539
830.4000244,0.00198895
830.5999756,0.000872876
830.7999878,0.001711768
831,0.00074728
831.2000122,0.000792494
831.4000244,0.00262231
831.5999756,0.002804133
831.7999878,0.001076129
832,0.002158628
832.2000122,0.001001836
832.4000244,0.001943713
832.5999756,0.001280262
832.7999878,0.000824833
833,0.003117264
833.2000122,0.001375869
833.4000244,0.002828126
833.5999756,0.002329704
833.7999878,0.00163385
834,0.002749651
834.2000122,0.002097946
834.4000244,0.002057727
834.5999756,0.001586411
834.7999878,0.002489451
835,0.001378743
835.2000122,0.000431103
835.4000244,0.0000559
835.5999756,0.001562694
