Wavelength (nm),y
300,0.0000701
301,0.000174075
302,0.0000115
303,-0.0000143
304,0.000049
305,-0.000110224
306,0.000107459
307,-0.000100207
308,-0.000140965
309,0.0000458
310,0.0000638
311,-0.000207284
312,-0.000124595
313,-0.000123618
314,-0.000171167
315,0.00086398
316,0.000172321
317,0.0000129
318,0.000308253
319,0.00052228
320,0.000654766
321,0.000397085
322,-0.000014
323,0.000885928
324,0.002416147
325,-0.0000803
326,0.000109334
327,0.000855952
328,0.000680458
329,0.000627606
330,0.000381922
331,0.000132021
332,0.0000762
333,0.000970857
334,0.002867639
335,0.000333345
336,0.000309514
337,0.001301808
338,0.001749165
339,0.000897656
340,-0.0000543
341,0.000189407
342,-0.0000369
343,0.000647253
344,0.001836944
345,0.000394978
346,-0.000000425
347,0.0000644
348,0.000579322
349,0.000274149
350,0.00000748
351,0.000122534
352,-0.0000236
353,0.0000575
354,-0.0000556
355,-0.0000555
356,0.0000212
357,0.0000159
358,0.0000597
359,-0.0000233
360,0.000055
361,0.000062
362,0.0000395
363,0.0000918
364,-0.00000164
365,-0.0000195
366,0.0000727
367,-0.0000213
368,-0.0000129
369,-0.00000257
370,-0.0000699
371,-0.00000235
372,-0.00000064
373,-0.0000238
374,0.0000041
375,0.000014
376,-0.0000697
377,-0.0000236
378,0.0000632
379,0.0000251
380,-0.0000164
381,-0.000000698
382,0.0000577
383,-0.0000197
384,-0.00000719
385,0.0000594
386,0.0000222
387,0.00000214
388,0.0000649
389,0.000019
390,0.000178815
391,0.000345727
392,0.000069
393,0.0000506
394,-0.0000173
395,-0.00000144
396,0.0000732
397,0.000827917
398,0.000214509
399,0.0000517
400,0.0000326
401,0.0000166
402,0.0000492
403,0.00000621
404,0.0000821
405,0.00011882
406,0.000917113
407,0.000316629
408,0.0000804
409,0.000239466
410,0.000199653
411,0.000143635
412,0.000114728
413,0.000196104
414,0.000848407
415,0.000647551
416,0.000384837
417,0.000228631
418,0.0000899
419,0.000137516
420,0.00071524
421,0.003987164
422,0.004066163
423,0.001151743
424,0.002909694
425,0.005421115
426,0.00176433
427,0.000664543
428,0.00011419
429,0.0000173
430,0.0000697
431,0.000453787
432,0.000841231
433,0.000408618
434,0.000227304
435,0.000132695
436,0.000412332
437,0.002991149
438,0.000678175
439,0.0000271
440,0.0000621
441,0.000344964
442,0.001746037
443,0.000454954
444,0.0000914
445,0.0000845
446,0.000115093
447,0.00055737
448,0.000703111
449,0.000349945
450,0.000296322
451,0.00040062
