Wavelength (nm),z
685.4799805,-0.023120519
685.2999878,-0.023490965
685.1199951,-0.023148434
684.9400024,-0.023280071
684.7600098,-0.023234505
684.5800171,-0.023260918
684.4000244,-0.023403434
684.2200317,-0.022699228
684.039978,-0.023396542
683.8599854,-0.022820612
683.6799927,-0.023429042
683.5,-0.023290599
683.3200073,-0.023558702
683.1400146,-0.023770375
682.960022,-0.023821382
682.7800293,-0.024111819
682.5999756,-0.02444851
682.4199829,-0.024465388
682.2399902,-0.025038213
682.0599976,-0.025220629
681.8800049,-0.025387181
681.7000122,-0.025484979
681.5200195,-0.025173655
681.3400269,-0.026038356
681.1600342,-0.026310757
680.9799805,-0.026413461
680.7999878,-0.02634801
680.6199951,-0.02685152
680.4400024,-0.026998064
680.2600098,-0.027089499
680.0800171,-0.027497625
679.9000244,-0.027187398
679.7200317,-0.027494814
679.539978,-0.027435496
679.3599854,-0.027766079
679.1799927,-0.027799219
679,-0.028149594
678.8200073,-0.027950678
678.6400146,-0.028129254
678.460022,-0.027954061
678.2800293,-0.028655414
678.0999756,-0.028489813
677.9199829,-0.028559653
677.7399902,-0.028173786
677.5599976,-0.028134739
677.3800049,-0.028809981
677.2000122,-0.028359393
677.0200195,-0.028518386
676.8400269,-0.02834231
676.6600342,-0.028909359
676.4799805,-0.028602077
676.2999878,-0.028809642
676.1199951,-0.028967718
675.9400024,-0.028849026
675.7600098,-0.028837498
675.5800171,-0.028652957
675.4000244,-0.028963935
675.2200317,-0.029119233
675.039978,-0.028516188
674.8599854,-0.029138321
674.6799927,-0.029100426
674.5,-0.029396597
674.3200073,-0.029179543
674.1400146,-0.028932488
673.960022,-0.028893817
673.7800293,-0.02894761
673.5999756,-0.028634103
673.4199829,-0.028982144
673.2399902,-0.028669115
673.0599976,-0.029073108
672.8800049,-0.029182982
672.7000122,-0.029232478
672.5200195,-0.028932126
672.3400269,-0.028821098
672.1600342,-0.029007735
671.9799805,-0.029067425
671.7999878,-0.029179629
671.6199951,-0.028944135
671.4400024,-0.028869979
671.2600098,-0.028925851
671.0800171,-0.028951664
670.9000244,-0.029127119
670.7200317,-0.028804349
670.539978,-0.029199261
670.3599854,-0.029250892
670.1799927,-0.029369108
670,-0.029269105
669.8200073,-0.029299201
669.6400146,-0.02887187
669.460022,-0.028919781
669.2800293,-0.029100679
669.0999756,-0.029060347
668.9199829,-0.028681399
668.7399902,-0.029089784
668.5599976,-0.029133722
668.3800049,-0.028949833
668.2000122,-0.028933169
668.0200195,-0.028644895
667.8400269,-0.028623119
667.6600342,-0.028712038
