Wavelength (nm),zs
300,0.002805075
301,0.002164316
302,0.005001212
303,0.014132695
304,0.009553441
305,0.007121941
306,0.01423248
307,0.030484706
308,0.010430933
309,0.005665784
310,0.015873726
311,0.011775335
312,0.000723356
313,0.023985334
314,0.08840131
315,0.013210137
316,0.001305285
317,0.010787184
318,0.039615676
319,0.038264953
320,0.006811049
321,0.002777502
322,0.034153346
323,0.048153389
324,0.025260838
325,0.010160995
326,0.027632128
327,0.019497395
328,0.026984673
329,0.030314747
330,0.017356236
331,0.01165106
332,0.028149216
333,0.027319018
334,0.000924754
335,0.000672869
336,0.000896814
337,0.001590918
338,0.000645523
339,0.000961024
340,0.000252277
341,0.000215795
342,0.0000152
343,0.000271242
344,0.000000911
345,0.000395868
346,0.0000049
347,0.0000825
348,0.000275642
349,0.000779058
350,-0.000122067
351,0.0000666
352,0.0000122
353,-0.0000461
354,-0.0000442
355,-0.0000201
356,0.000142652
357,0.000145043
358,-0.0000224
359,-0.000026
360,-0.0000667
361,0.000104118
362,0.0000263
363,0.000096
364,0.0000618
365,-0.0000294
366,0.000117137
367,-0.000028
368,-0.0000522
369,-0.0000491
370,-0.0000197
371,-0.0000562
372,0.000216623
373,0.0000823
374,-0.0000753
375,-0.0000347
376,-0.0000471
377,-0.0000573
378,-0.000041
379,-0.0000385
380,-0.000113288
381,-0.0000441
382,0.0000603
383,-0.0000364
384,0.0000281
385,0.00000818
386,-0.0000104
387,0.0001237
388,0.0000648
389,-0.0000588
390,0.000463093
391,0.0000295
392,-0.0000433
393,0.000341896
394,0.0000991
395,-0.0000681
396,-0.0000886
397,0.0000542
398,0.000197145
399,0.0000784
400,0.0000108
401,0.000246324
402,-0.0000154
403,-0.0000942
404,-0.0000223
405,-0.0000284
406,0.0000305
407,-0.0000259
408,-0.0000848
409,-0.0000471
410,-0.0000598
411,0.000136355
412,0.0000565
413,-0.0000201
414,0.000018
415,0.000165272
416,0.002076077
417,0.000481855
418,0.001453003
419,0.000762
420,-0.0000183
421,-0.0000376
422,0.000427644
423,0.000855077
424,0.000188881
425,0.000165452
426,0.001470315
427,0.000691664
428,0.00000191
429,0.000478689
430,0.000796025
431,0.000290676
432,0.001241507
433,0.000457514
434,0.0000845
435,0.000635561
436,0.001478669
437,0.000406268
438,0.00023991
439,0.0000891
440,0.0000529
441,0.000199384
442,0.000461254
443,0.000292567
444,0.000145314
445,0.0000802
446,0.0000636
447,0.001479881
448,0.000845381
449,-0.0000544
450,-0.0000688
451,-0.0000499
452,-0.00000954
453,0.000661283
454,0.005397305
455,0.00565438
456,0.001532221
457,0.000741227
458,0.000171177
459,-0.0000224
460,-0.0000641
461,-0.0000654
462,-0.0000462
463,0.000289216
464,0.001577692
465,0.000111657
466,-0.000026
467,-0.00000404
468,0.00019479
469,0.000890483
470,0.000813029
471,0.000458561
472,0.000755534
473,0.001462635
474,0.000603805
475,0.000105812
476,0.000019
477,0.00000355
478,-0.000059
479,-0.0000812
480,-0.0000513
481,0.00017765
482,0.000547511
483,0.0000407
484,-0.0000468
485,-0.0000566
486,0.0000328
487,0.000664082
488,0.000400461
489,0.0000427
490,0.000117382
491,0.000365913
492,0.000656526
493,0.000736152
494,0.000608466
495,0.000564442
496,0.000526854
497,0.000519694
498,0.000382746
499,0.0000937
500,-0.0000329
501,-0.0000544
502,-0.000081
503,-0.0000702
504,-0.0000948
505,-0.0000787
506,-0.000079
507,-0.0000286
508,0.000224766
509,0.000906447
510,0.00028904
511,0.000367832
512,0.00070714
513,0.000359604
514,0.0000658
515,0.0000463
516,0.0000516
517,0.00011443
518,0.000290288
519,0.000880047
520,0.004591832
521,0.002830574
522,0.000378432
523,0.0000999
524,0.0000308
525,0.0000511
526,0.000102607
527,0.000310577
528,0.001216277
529,0.001366194
530,0.000527094
531,0.000310084
532,0.000436576
533,0.001727769
534,0.004868882
535,0.002673833
536,0.000986233
537,0.000779185
538,0.001154492
539,0.002146023
540,0.003525053
541,0.003293958
542,0.002328331
543,0.001658383
544,0.001336292
545,0.001433674
546,0.001712157
547,0.001935676
548,0.002262976
549,0.00293996
550,0.004067944
551,0.005095672
552,0.005972344
553,0.008897497
554,0.008988204
555,0.002814072
556,0.00066017
557,0.000271192
558,0.000211371
559,0.000137175
560,0.000233273
561,0.000562568
562,0.001709247
563,0.002743163
564,0.001926903
565,0.001435333
566,0.001789754
567,0.003391214
568,0.005479105
569,0.004870304
570,0.003703213
571,0.003597956
572,0.004493321
573,0.005287097
574,0.005187461
575,0.004996188
576,0.005075168
577,0.004496132
578,0.003966656
579,0.003679514
580,0.002838321
581,0.001412952
582,0.000590225
583,0.000270565
584,0.000137813
585,0.000121399
586,0.0000891
587,0.0000614
588,0.0000409
589,-0.0000333
590,-0.0000562
591,-0.0000269
592,-0.0000809
593,-0.0000717
594,-0.0000133
595,-0.0000154
596,0.000104229
597,0.000868511
598,0.001514632
599,0.000564814
600,0.000220485
601,0.000142382
602,0.000178697
603,0.000227726
604,0.000331306
605,0.000427636
606,0.000667868
607,0.001071335
608,0.001213265
609,0.000764241
610,0.000358516
