

date,jdobs,filter,absmag,mag,emag,limmag,instrument,reducedby,refsys,issub 
"2009 Mar 01",2454892.05078,"g", 99.0, 99.0,99.0, 20.84,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 17",2454907.75869,"r", 99.0, 99.0,99.0, 21.48,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 17",2454907.83082,"r", 99.0, 99.0,99.0, 22.24,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 17",2454907.95605,"r", 99.0, 99.0,99.0, 21.17,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 20",2454910.98946,"g", 99.0, 99.0,99.0, 22.52,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 20",2454911.01838,"g", 99.0, 99.0,99.0, 21.38,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 25",2454915.70711,"g", 99.0, 99.0,99.0, 20.89,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 26",2454916.70316,"g", 99.0, 99.0,99.0, 20.04,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 27",2454917.70034,"g", 99.0, 99.0,99.0, 20.30,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 27",2454917.79162,"g", 99.0, 99.0,99.0, 20.71,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 28",2454918.91691,"g", 99.0, 99.0,99.0, 21.50,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 28",2454918.9634,"g", 99.0, 99.0,99.0, 21.11,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 31",2454921.74449,"g", 99.0, 99.0,99.0, 20.70,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Mar 31",2454921.86891,"g", 99.0, 99.0,99.0, 21.20,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Apr 01",2454922.90088,"g", 99.0, 99.0,99.0, 21.32,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 25",2454976.76534,"g", 99.0, 99.0,99.0, 21.52,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 25",2454976.8203,"g", 99.0, 99.0,99.0, 21.42,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 25",2454976.87078,"g", 99.0, 99.0,99.0, 21.20,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 25",2454976.90119,"g", 99.0, 99.0,99.0, 21.16,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 27",2454978.71955,"r", 99.0, 99.0,99.0, 21.80,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 27",2454978.79616,"r", 99.0, 99.0,99.0, 21.66,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 27",2454978.84846,"r", 99.0, 99.0,99.0, 21.09,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 27",2454978.88295,"r", 99.0, 99.0,99.0, 20.98,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 28",2454979.68269,"r", 99.0, 99.0,99.0, 21.94,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 28",2454979.7385,"r", 99.0, 99.0,99.0, 21.75,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 28",2454979.79565,"r", 99.0, 99.0,99.0, 21.91,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 May 28",2454979.85391,"r", 99.0, 99.0,99.0, 21.14,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Jun 20",2455002.71367,"r", 99.0, 99.0,99.0, 20.95,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Jun 21",2455003.7205,"r", 99.0, 99.0,99.0, 21.31,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Jul 06",2455018.68477,"r", 99.0, 99.0,99.0, 21.68,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Jul 06",2455018.77846,"r", 99.0, 99.0,99.0, 20.13,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Dec 18",2455183.95852,"r", 99.0, 99.0,99.0, 19.93,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2009 Dec 18",2455184.00465,"r", 99.0, 99.0,99.0, 20.87,"P48+CFH12k","PTFIDE pipeline","IPAC",t
"2010 Jan 01",2455197.97199,"r", 99.0, 99.0,99.0, 20.08,"P48+CFH12k","PTFIDE pipeline","IPAC",t
