# mag_err	date_mid	saturated	flux_hz	flux_hz_err	date_end	date_start	mag_lim	filter	flux_aa_err	mag	flux_aa
0.053218	2016-04-25 16:01:54.500000	0	1.45714	0.0664191	2016-04-25 18:24:18	2016-04-25 13:39:31	20.1616	B	1.06252e-16	16.1102	2.33102e-15
0.200945	2016-04-25 16:11:09.500000	0	0.0105127	0.00192499	2016-04-25 18:36:57	2016-04-25 13:45:22	20.7452	UVM2	1.16153e-17	19.6608	6.34331e-17
0.0613881	2016-04-25 16:00:57.500000	0	0.7099	0.039483	2016-04-25 18:23:16	2016-04-25 13:38:39	19.791	U	9.65709e-17	15.7701	1.73634e-15
0.0651543	2016-04-25 16:07:22	0	1.48833	0.0883945	2016-04-25 18:30:14	2016-04-25 13:44:30	19.1584	V	9.08107e-17	15.9718	1.52901e-15
0.0879936	2016-04-25 15:59:12.500000	0	0.11267	0.00926283	2016-04-25 18:22:14	2016-04-25 13:36:11	20.2734	UVW1	4.13647e-17	17.2462	5.03147e-16
0.142631	2016-04-25 16:04:48	0	0.0201818	0.00262885	2016-04-25 18:29:12	2016-04-25 13:40:24	20.7962	UVW2	1.90683e-17	18.9073	1.46388e-16
0.0501982	2016-04-11 07:26:25.500000	0	0.838803	0.0357134	2016-04-11 09:52:20	2016-04-11 05:00:31	20.7374	B	5.71317e-17	16.7098	1.34185e-15
0.165844	2016-04-11 07:39:01.500000	0	0.00793528	0.00119314	2016-04-11 10:12:57	2016-04-11 05:05:06	21.2855	UVM2	7.19933e-18	19.9662	4.78809e-17
0.053972	2016-04-11 07:25:19	0	0.688374	0.0334948	2016-04-11 09:50:48	2016-04-11 04:59:50	20.3577	U	8.19245e-17	15.8035	1.68369e-15
0.0619761	2016-04-11 07:32:52	0	0.751122	0.0423877	2016-04-11 10:01:19	2016-04-11 05:04:25	19.7339	V	4.35463e-17	16.7143	7.71653e-16
0.0705416	2016-04-11 07:23:35	0	0.112689	0.00748489	2016-04-11 09:49:16	2016-04-11 04:57:54	20.9042	UVW1	3.3425e-17	17.246	5.03229e-16
0.103692	2016-04-11 07:30:30	0	0.0215446	0.00202458	2016-04-11 09:59:46	2016-04-11 05:01:14	21.411	UVW2	1.46853e-17	18.8363	1.56273e-16
0.0499093	2016-04-16 00:15:27	0	1.41612	0.0598844	2016-04-16 05:07:47	2016-04-15 19:23:07	20.4149	B	9.57986e-17	16.1412	2.2654e-15
0.141323	2016-04-16 00:22:58	0	0.0129794	0.00165295	2016-04-16 05:13:56	2016-04-15 19:32:00	21.1422	UVM2	9.97379e-18	19.432	7.8317e-17
0.0545487	2016-04-16 00:14:33	0	1.02858	0.0506063	2016-04-16 05:07:18	2016-04-15 19:21:48	20.0517	U	1.23777e-16	15.3675	2.51578e-15
0.0601186	2016-04-16 00:20:35.500000	0	1.26185	0.0690249	2016-04-16 05:10:29	2016-04-15 19:30:42	19.4281	V	7.09116e-17	16.1511	1.29634e-15
0.0730207	2016-04-16 00:12:25.500000	0	0.150934	0.0103626	2016-04-16 05:06:49	2016-04-15 19:18:02	20.5288	UVW1	4.62757e-17	16.9288	6.74021e-16
0.108203	2016-04-16 00:17:13.500000	0	0.0284464	0.00279319	2016-04-16 05:10:00	2016-04-15 19:24:27	21.1384	UVW2	2.02603e-17	18.5346	2.06335e-16
0.08804	2016-04-13 18:12:04.500000	0	1.17384	0.0928034	2016-04-13 18:12:16	2016-04-13 18:11:53	19.0909	B	1.4846e-16	16.3449	1.87783e-15
0.0881272	2016-04-13 18:11:37	0	0.903391	0.0727483	2016-04-13 18:11:48	2016-04-13 18:11:26	18.5684	U	1.77934e-16	15.5084	2.20959e-15
0.147122	2016-04-13 18:10:47	0	0.142435	0.0194005	2016-04-13 18:11:21	2016-04-13 18:10:13	18.6992	UVW1	8.66359e-17	16.9917	6.36067e-16
0.371953	2016-04-13 18:12:38.500000	0	0.0359993	0.0123174	2016-04-13 18:12:56	2016-04-13 18:12:21	18.2602	UVW2	8.93441e-17	18.2789	2.6112e-16
0.131654	2016-04-05 09:35:26	0	0.099931	0.0119828	2016-04-05 10:12:40	2016-04-05 08:58:12	20.4698	B	1.91692e-17	19.0197	1.59862e-16
0.797882	2016-04-05 10:30:42	0	0.000963147	0.00070732	2016-04-05 10:41:48	2016-04-05 10:19:36	21.1862	UVM2	4.26792e-18	22.2559	5.81157e-18
0.117893	2016-04-05 09:34:02	0	0.0730428	0.00789637	2016-04-05 10:11:16	2016-04-05 08:56:48	20.0612	U	1.93136e-17	18.2391	1.78654e-16
0.234311	2016-04-05 10:18:51	0	0.166925	0.0359955	2016-04-05 10:19:31	2016-04-05 10:18:11	18.9975	V	3.69793e-17	18.3473	1.71488e-16
0.333211	2016-04-05 09:31:58	0	0.00826241	0.00253829	2016-04-05 10:09:52	2016-04-05 08:54:04	20.227	UVW1	1.13351e-17	20.083	3.68971e-17
0.625275	2016-04-05 09:38:52	0	0.00210484	0.00121165	2016-04-05 10:18:06	2016-04-05 08:59:38	20.552	UVW2	8.78866e-18	21.3616	1.52674e-17
